Award Type	Cinema Score	Film Rating	Film1	IMDB Score (bin)	Number	Plot	Release Date	Rotten Tomatoes Score (bin)	Status	Box Office Other	Box Office US Canada	Box Office Worldwide	Budget	IMDB Counts	IMDB Score	Metacritic Counts	Metacritic Score	Profit Margin	Return of Investment	Rotten Tomatoes Counts	Rotten Tomatoes Score	Run Time
Animated Feature	A	G	Toy Story	8.2	1	A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.	22-11-1995	100	Award not yet introduced	171210907	223225679	394436586	30000000	1089101	8.3	26	95	12.1478862	1214.78862	96	100	81
Animated Feature	A	G	A Bug's Life	7	2	"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."	25-11-1998	85	Award not yet introduced	200460294	162798565	363258859	120000000	319596	7.2	23	78	2.027157158	202.7157158	91	92	95
Animated Feature	A+	G	Toy Story 2	7.9	3	"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."	24-11-1999	100	Award not yet introduced	265506097	245852179	511358276	90000000	630573	7.9	34	88	4.681758622	468.1758622	172	100	92
Animated Feature	A+	G	"Monsters, Inc."	7.9	4	"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."	02-11-2001	93	Nominated	272900000	255873250	528773250	115000000	1000657	8.1	35	79	3.598028261	359.8028261	199	96	92
Animated Feature	A+	G	Finding Nemo	8.2	5	"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."	30-05-2003	93	Won	531300000	339714978	871014978	94000000	1132877	8.2	38	90	8.266116787	826.6116787	270	99	100
Animated Feature	A+	PG	The Incredibles	7.9	6	"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."	05-11-2004	93	Won	370001000	261441092	631442092	92000000	828986	8	41	90	5.863501	586.3501	250	97	115
Animated Feature	A	G	Cars	7	7	"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."	09-06-2006	71	Nominated	217900167	244082982	461983149	120000000	484034	7.2	39	73	2.849859575	284.9859575	204	75	116
Animated Feature	A	G	Ratatouille	7.9	8	A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.	29-06-2007	93	Won	417280431	206445654	623726085	150000000	851229	8.1	37	96	3.1581739	315.81739	253	96	111
Animated Feature	A	G	WALL-E	8.2	9	"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind."	27-06-2008	93	Won	297503696	223808164	521311860	180000000	1226415	8.4	39	95	1.896177	189.6177	261	95	98
Best Picture	A+	PG	Up	8.2	10	"78-year-old Carl Fredricksen travels to South America in his house equipped with balloons, inadvertently taking a young stowaway."	29-05-2009	93	Nominated	442094918	293004164	735099082	175000000	1151249	8.3	37	88	3.200566183	320.0566183	297	98	96
